titulo,precio,rating,categoria,en_stock,autores,descripcion
Shakespeare's Sonnets,20.66,4,Poetry,1,William Shakespeare,"Examining the universal and perennial topics of love, beauty, time and mortality, the 154 sonnets by William Shakespeare have been often quoted in the last 400 years since his death. The sonnets were first published in 1609, but there is hardly a language in the world into which they have not been translated."
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,Mystery,1,Edith Maxwell,"Quaker midwife Rose Carroll delights in attending to the needs of mothers and newborns, but a suspicious fire and two murders leave her fearing for the well-being of her loved ones."
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,Sequential Art,1,Autor Desconocido,Sin descripción
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,4,Add a comment,1,Christine Feehan,"Get swept away by the third thrilling Sisters of the Heart novel from #1 New York Times bestselling author Christine Feehan. On the shores of Sea Haven, six women touched by great loss have come together in a sisterhood strengthened by the elements—a bond each will need as new love and danger enter their lives... For as far back as she can remember, Airiana Ridell has always been aware of her extraordinary gift. She can intuit revealing and illuminating “patterns” in the air around her, an abili..."
Arena,21.36,4,Science Fiction,1,Khalil Gibrán,Sin descripción
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4,Sequential Art,1,Autor Desconocido,Sin descripción
Shadow Rites (Jane Yellowrock #10),21.72,4,Fantasy,1,Autor Desconocido,Sin descripción
You Are What You Love: The Spiritual Power of Habit,21.87,4,Religion,1,James K. A. Smith,"Christianity Today Book Award Winner Martin Institute and Dallas Willard Center Book Award You are what you love. But you might not love what you think. In this book, award-winning author James K. A. Smith shows that who and what we worship fundamentally shape our hearts. And while we desire to shape culture, we are not often aware of how culture shapes us. We might not realize the ways our hearts are being taught to love rival gods instead of the One for whom we were made. Smith helps readers r..."
Hystopia: A Novel,21.96,4,Fiction,1,David Means,"At the bitter end of the 1960s, after surviving multiple assassination attempts, President John F. Kennedy has created a vast federal agency, the Psych Corps, dedicated to maintaining the nation's mental hygiene by any means necessary. Soldiers returning from Vietnam have their battlefield traumas ""enfolded""-wiped from their memories through drugs and therapy-while veterans too damaged to be enfolded roam at will in Michigan, evading the Psych Corps and reenacting atrocities on civilians. This d..."
In the Country We Love: My Family Divided,22.0,4,Nonfiction,1,"Diane Guerrero, Michelle Burford","The star of Orange is the New Black and Jane the Virgin presents her personal story of the real plight of undocumented immigrants in this country Diane Guerrero, the television actress from the megahit Orange is the New Black and Jane the Virgin, was just fourteen years old on the day her parents were detained and deported while she was at school. Born in the U.S., Guerrero was able to remain in the country and continue her education, depending on the kindness of family friends who took her in a..."
Ash,22.06,4,Fantasy,1,Mary Gentle,"Incluye las novelas: Ash la historia secreta (9788490186107), Cartago triunfante (9788490186114), Las máquinas salvajes (9788490184684) y Borgaña perdida (9788490185322)."
Code Name Verity (Code Name Verity #1),22.13,4,Add a comment,1,Elizabeth Wein,"Don’t miss Elizabeth Wein’s stunning new novel, Stateless! The beloved #1 New York Times bestseller, a ""fiendishly plotted"" (New York Times) ""heart-in-your mouth adventure"" (Washington Post) that ""will take wing and soar into your heart"" (Laurie Halse Anderson). October 11th, 1943—A British spy plane crashes in Nazi-occupied France. Its pilot and passenger are best friends. One of the girls has a chance at survival. The other has lost the game before it's barely begun. When ""Verity"" is arrested ..."
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,4,Add a comment,1,Sam Harris,"""The End of Faith articulates the dangers and absurdities of organized religion so fiercely and so fearlessly that I felt relieved as I read it, vindicated....Harris writes what a sizable number of us think, but few are willing to say.""—Natalie Angier, New York Times In The End of Faith, Sam Harris delivers a startling analysis of the clash between reason and religion in the modern world. He offers a vivid, historical tour of our willingness to suspend reason in favor of religious beliefs—even w..."
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Default,1,Daniel James Brown,"Now a Major Motion Picture Directed by George Clooney The #1 New York Times–bestselling story about the American Olympic rowing triumph in Nazi Germany—from the author of Facing the Mountain. For readers of Unbroken, out of the depths of the Depression comes an irresistible story about beating the odds and finding hope in the most desperate of times—the improbable, intimate account of how nine working-class boys from the American West showed the world at the 1936 Olympics in Berlin what true gri..."
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,4,Young Adult,1,Autor Desconocido,Sin descripción
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,Add a comment,1,"John P. Forsyth, Georg H. Eifert","Workbook, Source book."
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,4,Young Adult,1,J. K. Rowling,"Celebrate 20 years of Harry Potter magic! When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves ... But perhaps most terrifying of all are the Dementors patrollin..."
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,Mystery,1,Agatha Christie,"About The Mysterious Affair at Styles The Mysterious Affair at Styles, first published in 1920 in the United States, was celebrated detective fiction writer Agatha Christie's very first novel, introducing her soon-to-be-famous character Inspector Hercule Poirot. Poirot, a Belgian refugee of the Great War, is settling in England near the home of his elderly benefactor Emily Inglethorp, who helped him to his new life. His friend Arthur Hastings arrives as a guest at her home. When death comes to c..."
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4,Nonfiction,1,Rob Sheffield,"From the bestselling author of Love Is a Mix Tape and Turn Around Bright Eyes, ""a funny, insightful look at the sublime torture of adolescence"".—Entertainment Weekly The 1980s meant MTV and John Hughes movies, big dreams and bigger shoulder pads, and millions of teen girls who nursed crushes on the members of Duran Duran. As a solitary teenager stranded in the suburbs, Rob Sheffield had a lot to learn about women, love, music, and himself. And he was sure his radio had all the answers. As eviden..."
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,Humor,1,Jen Kirkman,"""Jen offers up all the gory details of a life permanently in progress. She reassures you that it's okay to not have life completely figured out, even when you reach middle age (and find your first gray pubic hair). She talks about making unusual or unpopular life decisions (such as cultivating a 'friend with benefits' or not going home for the holidays) because you don't necessarily want for yourself what everyone else seems to think you should. It's about renting when everyone says you should o..."
The Nightingale,26.26,4,Fiction,1,Hans Christian Andersen,"Despite being neglected by the emperor for a jewel-studded bird, the little nightingale revives the dying ruler with its beautiful song."
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,Classics,1,Edgar Allan Poe,Sin descripción
The Secret (The Secret #1),27.37,4,Default,1,"L.g. Bass, Laura Geringer","This first novel in a new trilogy draws upon Chinese myth and legend for an epic kung-fu, sword-and-sorcery fantasy is a tour de force of classic storytelling."
Lost Among the Living,27.7,4,Historical Fiction,1,Simone St. James,"From the New York Times bestselling author of Murder Road comes a gripping novel that “is the perfect blend of history and mystery, with a little paranormal activity and romance thrown in for the ride” (Suspense Magazine). England, 1921. Three years after her husband, Alex, disappeared, shot down over Germany, Jo Manders still mourns his loss. Working as a paid companion to Alex's wealthy, condescending aunt, Dottie Forsyth, Jo travels to the family’s estate in the Sussex countryside. But there ..."
Little Women (Little Women #1),28.07,4,Classics,1,Melissa Foster,"A captivatingly funny and deeply emotional romance by New York Times bestselling author Melissa Foster. When the Dark Knights at Bayside and the cast of Bayside Summers collide, sparks fly, and trouble—or maybe love—is not far behind. . Set on the sandy shores of Cape Cod, the Wickeds feature fiercely protective heroes, strong heroines, and unbreakable family bonds. If you think bikers are all the same, you haven't met the Dark Knights. The Dark Knights are a motorcycle club, not a gang. Their m..."
The Marriage of Opposites,28.08,4,Historical Fiction,1,Alice Hoffman,"""A forbidden love story set on the tropical island of St. Thomas about the extraordinary woman who gave birth to painter Camille Pissarro, the Father of Impressionism""--"
A Fierce and Subtle Poison,28.13,4,Young Adult,1,Samantha Mabry,"Legends collide with reality when a boy is swept into the magical, dangerous world of a girl filled with poison. Everyone knows the legends about the cursed girl—Isabel, the one the señoras whisper about. They say she has green skin and grass for hair, and she feeds on the poisonous plants that fill her family’s lush Caribbean island garden. Some say she can grant wishes; some say her touch can kill. Seventeen-year-old Lucas spends summers with his hotel-developer father in Puerto Rico, and he’s..."
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,4,Religion,1,Elizabeth Drescher,"To the dismay of religious leaders, study after study has shown a steady decline in affiliation and identification with traditional religions in America. By 2014, more than twenty percent of adults identified as unaffiliated--up more than seven percent just since 2007. Even more startling, more than thirty percent of those under the age of thirty now identify as ""Nones""--answering ""none"" when queried about their religious affiliation. Is America losing its religion? Or, as more and more American..."
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,Nonfiction,1,Skip Hollandsworth,"A New York Times bestseller, The Midnight Assassin is a sweeping narrative history of a terrifying serial killer--America's first--who stalked Austin, Texas in 1885. In the late 1800s, the city of Austin, Texas was on the cusp of emerging from an isolated western outpost into a truly cosmopolitan metropolis. But beginning in December 1884, Austin was terrorized by someone equally as vicious and, in some ways, far more diabolical than London's infamous Jack the Ripper. For almost exactly one year..."
"The Land of 10,000 Madonnas",29.64,4,Young Adult,1,Kate Hattemer,"Five teens backpack through Europe to fulfill the mysterious dying wish of their friend in this heartwarming novel from the author of The Vigilante Poets of Selwyn Academy. Jesse lives with his history professor dad in a house covered with postcards of images of the Madonna from all over the world. They’re gotten used to this life: two motherless dudes living among thousands of Madonnas. But Jesse has a heart condition that will ultimately cut his life tragically short. Before he dies, he arrang..."
A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,4,Nonfiction,1,Bill Bryson,"A laugh-out-loud account of an outrageously rugged hike--by the beloved comic author of ""Lost Continent"" and ""Notes from a Small Island."""
Seven Brief Lessons on Physics,30.6,4,Science,1,Carlo Rovelli,"The New York Times bestseller from the author of The Order of Time and Reality Is Not What It Seems, Helgoland, and Anaximander “One of the year’s most entrancing books about science.”—The Wall Street Journal “Clear, elegant...a whirlwind tour of some of the biggest ideas in physics.”—The New York Times Book Review This playful, entertaining, and mind-bending introduction to modern physics briskly explains Einstein's general relativity, quantum mechanics, elementary particles, gravity, black hol..."
Twenty Love Poems and a Song of Despair,30.95,4,Poetry,1,Pablo Neruda,"A perennial bestseller since it was published in Chile nearly 70 years ago, this collection is now offered for the first time in a beautiful gift edition. This superb translation and richly colored illustrations bring the poems of this classic volume vividly to life. Full color."
Please Kill Me: The Uncensored Oral History of Punk,31.19,4,Music,1,"Legs McNeil, Gillian McCain","This is the true story of a misunderstood culture phenomenon, one embracing Andy Warhol, Jim Morrison, Lou Reed, David Bowie, Patti Smith, The Sex Pistols, Iggy Pop, The New York Dolls, The Clash and The Damned. It is a story of sex, drugs and rock and roll, documenting a time of glorious self-destruction and perverse innocence - punk was possibly the last time so many people will have had so much fun killing themselves. Legs McNeil, founder of Punk magazine has interviewed those who were member..."
Killing Floor (Jack Reacher #1),31.49,4,Thriller,1,Lee Child,"'This was the first Jack Reacher novel and with its lean, spare prose it has one of the most intriguing heroes of our times and displays a gift for explosive drama.' Daily Express Jack Reacher jumps off a bus and walks fourteen miles down a country road into Margrave, Georgia. An arbitrary decision he's about to regret. Reacher is the only stranger in town on the day they have had their first homicide in thirty years.The cops arrest Reacher and the police chief turns eyewitness to place him at t..."
My Mother Was Nuts,31.63,4,Nonfiction,1,Penny Marshall,"From her humble roots in the Bronx to Laverne and Shirley and her unlikely ascent in Hollywood, the beloved actor and director tells the story of her incredible life."
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,4,Fantasy,1,Autor Desconocido,Sin descripción
World Without End (The Pillars of the Earth #2),32.97,4,Historical Fiction,1,Autor Desconocido,Sin descripción
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,4,Default,1,Stephen R. Covey,A leading management consultant outlines seven organizational rules for improving effectiveness and increasing productivity at work and at home.
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Business,1,Don Raskin,"Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, Don Raskin's The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream job. Based on his remarkable expertise, Raskin's book provides exclusive insight into the job search process and lets readers in on all of the dirty ..."
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,Sequential Art,1,Autor Desconocido,Sin descripción
Imperfect Harmony,34.74,4,Romance,1,WL Knightly,"Everything changed the night Jessica disappeared, but her friends haven't stopped looking for her. When two mysterious children show up ten years later, they seem to be connected to the lost girl. Jessica's best friend, Rowan, wants to figure out who they are and if they can prove that her friend is still alive. Officer Tyler comes up with a plan to help her, but it's risky. He'll have to put his career on the line but he'll do anything to erase the mistake he made ten years ago."
Drive: The Surprising Truth About What Motivates Us,34.95,4,Default,1,Daniel H. Pink,"The New York Times bestseller that gives readers a paradigm-shattering new way to think about motivation from the author of When: The Scientific Secrets of Perfect Timing Most people believe that the best way to motivate is with rewards like money—the carrot-and-stick approach. That's a mistake, says Daniel H. Pink (author of To Sell Is Human: The Surprising Truth About Motivating Others). In this provocative and persuasive new book, he asserts that the secret to high performance and satisfactio..."
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,Science Fiction,1,Autor Desconocido,Sin descripción
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,Sequential Art,1,Autor Desconocido,Sin descripción
The Whale,35.96,4,Childrens,1,Jill Eggleton,Sin descripción
The Great Gatsby,36.05,4,Default,1,F. Scott Fitzgerald,"**The twentieth-century masterpiece, the authoritative new edition** With a new foreword by Jesmyn Ward, author of the Women's Prize-shortlisted Sing, Unburied, Sing ‘There was music from my neighbour’s house through the summer nights. In his blue gardens men and girls came and went like moths among the whisperings and the champagne and the stars.’ Enigmatic, intriguing and fabulously wealthy, Jay Gatsby throws lavish parties at his West Egg mansion to impress Daisy Buchanan, the object of his o..."
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,Sequential Art,1,Antony Johnston,"""Contains material originally published in magazine form as Codename Baboushka #1-5."""
V for Vendetta (V for Vendetta Complete),37.1,4,Default,1,Alan Moore,"V, an anarchist revolutionary dressed in a Guy Fawkes mask, begins an elaborate, violent, and intentionally theatrical campaign to murder his former captors, bring down the government, and convince the people to rule themselves."
Bounty (Colorado Mountain #7),37.26,4,Romance,1,Autor Desconocido,Sin descripción
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,Sequential Art,1,Autor Desconocido,Sin descripción
Death by Leisure: A Cautionary Tale,37.51,4,Default,1,Chris Ayres,"A British journalist’s “fast and funny” account of hedonism and conspicuous consumption in Los Angeles—and his attempt to get in on the fun (The New York Times). From the author of War Reporting for Cowards, Death by Leisure is the incisive, irreverent, and savagely funny story of British journalist Chris Ayres’s attempt to infiltrate the American leisure class (and find true love) in the credit-fueled years before the 2008 economic collapse. When the bubble bursts, however, Ayres must learn to ..."
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,Nonfiction,1,Rob Walker,"Brands are dead. Advertising no longer works. Consumers are in control. Or so we're told. In Buying In, Rob Walker argues that this accepted wisdom misses a much more important cultural shift, including a practice he calls murketing, in which people create brands of their own and participate, in unprecedented ways, in marketing campaigns for their favorites. Yes, rather than becoming immune to them, we are rapidly embracing brands. Profiling Timberland, American Apparel, Pabst Blue Ribbon, Red B..."
Rook,37.86,4,Add a comment,1,Kate Crew,"EN EL AMOR Y LA VENGANZA, TODO VALE. REGAN FLETCHER tenía grandes sueños: acabar la universidad, dedicarse en cuerpo y alma a crear arte y hacerse cargo del negocio familiar. Pero que su padre enfermara no estaba en sus planes, como tampoco esa repentina manía suya por controlarla. Aunque, si algo no esperaba era que el imbécil de su novio la dejase tirada mientras un motero les atracaba. Ahora no puede quitárselo de encima y mire donde mire, ahí está él. ROOK EMBERSON lleva alimentando su odio ..."
The Nameless City (The Nameless City #1),38.16,4,Sequential Art,1,Autor Desconocido,Sin descripción
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,Nonfiction,1,Regina Pacelli,"Be your own kind of creative. Everyone has a creative core. Everyone! But, in order for it to thrive, it needs to be nurtured. That's where ""Whole Lotta Creativity Going On"" can help. It's not a how-to book, but rather a fun book, filled with 10 different types of unusual and thought-provoking activities and exercises, which can be used to ignite and invigorate your creative spark. Sometimes, those that don't feel they are creative, surprise themselves the most when they unlock the door, clear a..."
The Crossover,38.77,4,Poetry,1,Kwame Alexander,Fourteen-year-old twin basketball stars Josh and Jordan wrestle with highs and lows on and off the court as their father ignores his declining health.
A Paris Apartment,39.01,4,Historical Fiction,1,Michelle Gable,"The New York Times Best Seller! Now with an excerpt of Michelle's new book, I'll See You in Paris! Bienvenue à Paris! When April Vogt's boss tells her about an apartment in the ninth arrondissement that has been discovered after being shuttered for the past seventy years, the Sotheby's continental furniture specialist does not hear the words ""dust"" or ""rats"" or ""decrepit."" She hears Paris. She hears escape. Once in France, April quickly learns the apartment is not merely some rich hoarder's repo..."
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4,Sequential Art,1,Autor Desconocido,Sin descripción
Sister Dear,40.2,4,Fiction,1,Hannah Mary McKinnon,"Beauty. Wealth. Success. She's got it all. And it all should've been mine. 'A stunning achievement! Beautifully plotted story with characters that left a mark' Samantha Downing, author of #1 bestseller, My Lovely Wife When Eleanor Hardwicke's beloved father dies, her world is further shattered by the discovery of a gut-wrenching secret: the man she's grieving isn't her biological dad. With her personal life spiralling, a desperate Eleanor seeks out the family she never knew she had, finding an i..."
Deception Point,40.32,4,Fiction,1,Dan Brown,"Famoso por combinar ciencia, historia y política en sus exitosos thrillers El Código Da Vinci y Ángeles y Demonios, el autor bestseller del New York Times, Dan Brown, presenta una novela llena de tensión, donde la realidad se distorsiona y cada revelación es más sorprendente que la anterior. «Absorbente», The Washington Post «Un thriller excelente», Publishers Weekly Un nuevo satélite de la NASA demuestra la existencia de un extraño objeto enterrado en el hielo del Ártico. Para la agencia espaci..."
Icing (Aces Hockey #2),40.44,4,Sports and Games,1,Kelly Jamieson,"USA TODAY BESTSELLER • Hailed by Jami Davenport as her “go-to author for hockey romance,” the bestselling author of the Heller Brothers Hockey series sets the ice ablaze with another sexy novel featuring the gorgeous men of the Chicago Aces. Duncan Armstrong may be an NHL star, but he’s a country boy at heart. His ultimate fantasy is going home with the Stanley Cup, not a gold-digging airhead who aspires to be a trophy wife and nothing more. Newly single and hoping to enjoy a night out with his ..."
Dirty (Dive Bar #1),40.83,4,Romance,1,Autor Desconocido,Sin descripción
The Art of Not Breathing,40.83,4,Young Adult,1,Sarah Alexander,"One minute Eddie was there. And the next he was gone. Five years on, and it’s Elsie who’s lost. All she knows is the pain she feels. Pain that her twin Eddie’s body has never been found after that day on the beach. Then she meets Tay; confident, cool and addicted to free-diving. He says it’s too dangerous for her to join; it’s too dark, too scary, too deep. But what does he know? He doesn’t know that being underwater is the only time Elsie doesn’t ache for her brother. That diving gives her flas..."
The Story of Art,41.14,4,Art,1,Ernst Hans Gombrich,"Renowned not only as the best concise introduction to art history, but also as a classic of art historical literature, this book reflects the vast knowledge, insights, and expertise of one of this century's greatest art historians and thinkers. Extensively illustrated, it treats the history of art -- both chronologically and geographically -- as a continuous unfolding story. Offers a vivid, enthusiastic, and interpretive narrative"" written in direct, straightforward language -- with technical te..."
Furiously Happy: A Funny Book About Horrible Things,41.46,4,Nonfiction,1,Jenny Lawson,"For fans of David Sedaris, Tina Fey and Caitlin Moran comes Furiously Happy from Jenny Lawson, author of the #1 New York Times bestseller Let's Pretend This Never Happened. In Let's Pretend This Never Happened, Jenny Lawson regaled readers with uproarious stories of her bizarre childhood. In Furiously Happy she explores her lifelong battle with mental illness. A hysterical, ridiculous book about crippling depression and anxiety? That sounds like a terrible idea. And terrible ideas are what Jenny..."
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,Sequential Art,1,Bill Willingham,"When a savage creature known only as the Adversary conquered the fabled lands of legends and fairy tales, all of the infamous inhabitants of folklore were forced into exile. Disguised among the ""mundys,"" their name for normal citizens of modern-day New York, these magical characters created their own secret society that they call Fabletown. From their exclusive luxury apartment buildings on Manhattan's Upper West Side, these creatures of legend must fight for their survival in the new world. Fab..."
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,4,Nonfiction,1,Nathalia Holt,"The riveting true story of the women who launched America into space. In the 1940s and 50s, when the newly minted Jet Propulsion Laboratory needed quick-thinking mathematicians to calculate velocities and plot trajectories, they didn't turn to male graduates. Rather, they recruited an elite group of young women who, with only pencil, paper, and mathematical prowess, transformed rocket design, helped bring about the first American satellites, and made the exploration of the solar system possible...."
Where She Went (If I Stay #2),41.73,4,Young Adult,1,Melissa Tagg,"""Melissa Tagg follows up her debut novel with a stellar sophomore read. With her charming wit and engaging prose, Tagg pens a story of hope in God's dreams for us and ties it all together with sigh-worthy romance. Truly a book and author not to be missed."" ~Rachel Hauck, award-winning, bestselling author of The Wedding Dress and Princess Ever After After playing nomad for five years, Blake Hunziker has finally had enough of adventure. Not sure what reception he'll get from everyone back in Whisp..."
The Kite Runner,41.82,4,Default,1,Autor Desconocido,Sin descripción
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,Nonfiction,1,Marie Kondo,"NEW YORK TIMES BESTSELLER • The star of the hit Netflix series Tidying Up with Marie Kondo and author of The Life-Changing Magic of Tidying Up helps you visualize your ideal lifestyle. Japanese decluttering guru Marie Kondo has revolutionized homes—and lives—across the world. Now, Kondo presents an illustrated guide to usingher acclaimed KonMari Method to create a joy-filled home that works the way you need it to. Spark Joy features step-by-step folding illustrations for everything from shirts t..."
The Vacationers,42.15,4,Fiction,1,Emma Straub,"""Delicious . . . richly riveting . . . The Vacationers offers all the delights of a fluffy, read-it-with-sunglasses-on-the-beach read, made substantial by the exceptional wit, insight, intelligence and talents of its author.”—People (four stars) An irresistible, deftly observed novel from the New York Times-bestselling author of Modern Lovers, about the secrets, joys, and jealousies that rise to the surface over the course of an American family’s two-week stay in Mallorca. For the Posts, a two-w..."
Golden (Heart of Dread #3),42.21,4,Young Adult,1,Mellisa De La Cruz,"SYNOPSIS Recast the spell. Light the flame. Make the world anew. With the ruins of New Kandy still smoldering around them and Nat’s bond to her beloved drakon quickly fraying, Nat and Wes are lost amid a sea of destruction—with Wes at death’s door. Wes tried to save his sister, Eliza, and protect them from her cruelty, only to see firsthand just how dark her power had become. Desperate to escape the dangers lurking in New Kandy, Wes accepts help from a mysterious voice calling out to him from th..."
The Bourne Identity (Jason Bourne #1),42.78,4,Fiction,1,Robert Ludlum,Sin descripción
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,Science,1,Autor Desconocido,Sin descripción
The Story of Hong Gildong,43.19,4,Classics,1,Autor Desconocido,"A new, definitive translation of the quintessential Korean classic: the Robin Hood story of a magical boy who joins a group of robber bandits and becomes a king *Selected as a Best Book of the Year by NPR and The Washington Post* The Story of Hong Gildong is arguably the single most important work of classic Korean fiction. A fantastic story of adventure, it has been adapted into countless movies, television shows, novels, and comics in Korea. Until now, the earliest and fullest text of this inc..."
The Joy of Cooking,43.27,4,Add a comment,1,Irma S. Rombauer,"This lay-flat paperback format of the 1997 edition is truly an indispensable and beloved reference and recipe source for home cooks concerned about freshness, nutrition, and taste."
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,Science Fiction,1,Ian Doescher,"The New York Times Best Seller Experience the Star Wars saga reimagined as an Elizabethan drama penned by William Shakespeare himself, complete with authentic meter and verse, and theatrical monologues and dialogue by everyone from Darth Vader to R2D2. Return once more to a galaxy far, far away with this sublime retelling of George Lucas’s epic Star Wars in the style of the immortal Bard of Avon. The saga of a wise (Jedi) knight and an evil (Sith) lord, of a beautiful princess held captive and a..."
Legend (Legend #1),43.69,4,Young Adult,1,Michael Phillips,"When a legendary stone is stolen from Westminster Abbey, Great Britain is set astir. Both the IRA and the Scottish nationalists are suspected. Amid the uproar, young politician Andrew Trentham embarks on a personal quest for answers. But the more he learns about his Scottish ancestry, the more questions he has."
Heir to the Sky,44.07,4,Fantasy,1,Amanda Sun,"I dangle my legs over the edge of the cliff, tapping my heels against the smooth dirt that crumbles down the side of the continent. I don't fear falling. The world below looks unreal and distant, like it's only been painted on. Falling is something I can't even imagine. As heir to a kingdom of floating continents, Kali has spent her life bound by limits: by her duties as a member of the royal family, by a forced betrothal to the son of a nobleman and by the edge of the only world she's ever know..."
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery,1,Agatha Christie,"This is the Hercule Poirot novel that startled fans, polarized critics, shocked the Detection Club (of which Christie was a member) and solidified her reputation as the queen of crime."
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,Nonfiction,1,Nathanael Johnson,"It all started with Nathanael Johnson's decision to teach his daughter, Josephine, the names of every tree they passed as they walked up the hill to daycare in San Francisco, CA. it was a ridiculous project, not just because she couldn't even say the word ""tree"" yet, but also because he couldn't name a single one of them. When confronted with the futility of his mission, his instinctive response was to expand it, Don Quixote-style, until its audacity obscured its stupidity. And so the project ex..."
Wall and Piece,44.18,4,Art,1,Autor Desconocido,"From the Publisher: Graffiti artist Banksy decorates streets, walls, bridges and zoos of towns and cities throughout the world. His identity remains unknown but his work is witty, subversive and prolific. And now, he's put together the best of his work in a fully illustrated color volume."
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,Fantasy,1,"Cassandra Clare, Sarah Rees Brennan, Maureen Johnson","A collection of eleven short stories, previously published online, that illuminate the life of the enigmatic, flashy, and flamboyant High Warlock of Brooklyn, Magnus Bane, a character in The Mortal Instruments series."
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,Science,1,Autor Desconocido,Sin descripción
A Gathering of Shadows (Shades of Magic #2),44.81,4,Fantasy,1,V. E. Schwab,"Kell is plagued by his guilt. Restless, and having given up smuggling, he is visited by dreams of ominous magical events, waking only to think of Lila. As Red London prepares for the Element Games -- an extravagant international competition of magic -- a certain pirate ship draws closer. But another London is coming back to life, a shadow that was gone in the night reappears in the morning. Black London has risen again -- and so to keep magic's balance, another London must fall."
The Undomestic Goddess,45.75,4,Womens Fiction,1,Sophie Kinsella,"Workaholic attorney Samantha Sweeting has just done the unthinkable. She’s made a mistake so huge, it’ll wreck any chance of a partnership. Going into utter meltdown, she walks out of her London office, gets on a train, and ends up in the middle of nowhere. Asking for directions at a big, beautiful house, she’s mistaken for an interviewee and finds herself being offered a job as housekeeper. Her employers have no idea they’ve hired a lawyer–and Samantha has no idea how to work the oven. She can’..."
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,4,Food and Drink,1,Mark Bittman,"A definitive, one-stop vegetarian cookbook showcases more than two thousand different recipes and variations for simple meatless meals, including salads, soups, eggs and dairy, vegetables and fruit, pasta, grains, legumes, tofu and other meat substitutes."
salt.,46.78,4,Poetry,1,Pierre Laszlo,"For the sake of salt, Rome created a system of remuneration (from which we get the word ""salary""), nomads domesticated the camel, the Low Countries revolted against their Spanish oppressors, and Gandhi marched against the tyranny of the British. Through the ages, salt has conferred status, preserved foods, and mingled in the blood, sweat, and tears of humanity. Today, chefs of haute cuisine covet it in its most exotic forms—underground salt deposits, Hawaiian black lava salt, glittery African cr..."
